id,title,description,instructor_id,category_id,status,visibility,price,is_free,thumbnail_url,created_at,updated_at
27,Master Machine Learning,Professional machine learning training with industry best practices and expert insights.,1938,1,ACCEPTED,PUBLIC,47.62,False,/thumbnails/course_27.jpg,2025-09-12 17:35:30,2025-09-30 17:35:30
28,Modern Painting Techniques,Master painting with this complete guide designed for all skill levels.,175,6,ACCEPTED,PUBLIC,194.19,False,/thumbnails/course_28.jpg,2025-09-12 17:27:27,2025-09-18 17:27:27
29,Data Science Laboratory,Professional data science training with industry best practices and expert insights.,996,5,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_29.jpg,2025-09-12 17:25:47,2025-11-09 17:25:47
30,Node.js for Beginners,Comprehensive node.js course covering fundamental concepts and practical applications.,2143,1,PENDING,PUBLIC,275.01,False,/thumbnails/course_30.jpg,2025-09-12 17:31:06,2025-10-23 17:31:06
31,Career Workshop,Professional career training with industry best practices and expert insights.,436,9,ACCEPTED,PUBLIC,281.39,False,/thumbnails/course_31.jpg,2025-09-12 17:27:31,2025-10-06 17:27:31
32,Productivity Workshop,Learn productivity from scratch with hands-on projects and real-world examples.,1949,9,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_32.jpg,2025-09-12 17:33:22,2025-10-14 17:33:22
33,Advanced Cloud Computing,Master cloud computing with this complete guide designed for all skill levels.,1095,8,ACCEPTED,PRIVATE,0.0,False,/thumbnails/course_33.jpg,2025-09-12 17:31:59,2025-11-11 17:31:59
34,Applied Chemistry,Learn chemistry from scratch with hands-on projects and real-world examples.,474,5,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_34.jpg,2025-09-12 17:28:00,2025-11-01 17:28:00
35,Critical Thinking Fundamentals,In-depth critical thinking course with practical exercises and certification.,1949,10,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_35.jpg,2025-09-12 17:36:49,2025-10-31 17:36:49
36,Finance for Entrepreneurs,In-depth finance course with practical exercises and certification.,1416,3,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_36.jpg,2025-09-12 17:38:47,2025-10-26 17:38:47
37,Graphic Design for Professionals,Professional graphic design training with industry best practices and expert insights.,158,2,ACCEPTED,PUBLIC,202.9,False,/thumbnails/course_37.jpg,2025-09-12 17:26:57,2025-10-10 17:26:57
38,Professional AI,Professional ai training with industry best practices and expert insights.,828,8,ACCEPTED,PRIVATE,92.84,True,/thumbnails/course_38.jpg,2025-09-12 17:25:02,2025-10-12 17:25:02
39,Creative Drawing Workshop,In-depth drawing course with practical exercises and certification.,1641,6,ACCEPTED,PUBLIC,84.53,False,/thumbnails/course_39.jpg,2025-09-12 17:30:58,2025-10-15 17:30:58
40,Applied Chemistry,Learn chemistry from scratch with hands-on projects and real-world examples.,474,5,PENDING,PUBLIC,15.65,True,/thumbnails/course_40.jpg,2025-09-12 17:29:27,2025-10-05 17:29:27
41,Professional Nutrition,In-depth nutrition course with practical exercises and certification.,411,7,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_41.jpg,2025-09-12 17:28:03,2025-09-29 17:28:03
42,Advanced Sales,Learn sales from scratch with hands-on projects and real-world examples.,1620,3,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_42.jpg,2025-09-12 17:32:32,2025-11-03 17:32:32
43,Professional Node.js,Comprehensive node.js course covering fundamental concepts and practical applications.,1558,1,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_43.jpg,2025-09-12 17:27:16,2025-09-27 17:27:16
44,Advanced Marketing,Master marketing with this complete guide designed for all skill levels.,806,3,PENDING,PUBLIC,0.0,True,/thumbnails/course_44.jpg,2025-09-12 17:37:59,2025-11-04 17:37:59
45,Film History,Master film with this complete guide designed for all skill levels.,486,6,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_45.jpg,2025-09-12 17:33:49,2025-11-04 17:33:49
46,DevOps Implementation,Learn devops from scratch with hands-on projects and real-world examples.,1709,8,ACCEPTED,PUBLIC,1.58,False,/thumbnails/course_46.jpg,2025-09-12 17:29:25,2025-09-28 17:29:25
47,Creative Music Theory Workshop,In-depth music theory course with practical exercises and certification.,1952,6,ACCEPTED,PUBLIC,232.84,False,/thumbnails/course_47.jpg,2025-09-12 17:34:24,2025-09-19 17:34:24
48,Music Theory Basics,Professional music theory training with industry best practices and expert insights.,1674,6,PENDING,PUBLIC,0.0,True,/thumbnails/course_48.jpg,2025-09-12 17:37:33,2025-10-13 17:37:33
49,Introduction to C++,Learn c++ from scratch with hands-on projects and real-world examples.,1033,1,ACCEPTED,PUBLIC,184.44,False,/thumbnails/course_49.jpg,2025-09-12 17:30:16,2025-10-08 17:30:16
50,Advanced Logic,Comprehensive logic course covering fundamental concepts and practical applications.,1938,10,ACCEPTED,PUBLIC,20.3,True,/thumbnails/course_50.jpg,2025-09-12 17:36:42,2025-10-14 17:36:42
51,Professional IoT,Comprehensive iot course covering fundamental concepts and practical applications.,1469,8,ACCEPTED,PUBLIC,13.06,False,/thumbnails/course_51.jpg,2025-09-12 17:32:41,2025-10-05 17:32:41
52,Film Masterclass,Comprehensive film course covering fundamental concepts and practical applications.,1311,6,PENDING,PUBLIC,103.44,True,/thumbnails/course_52.jpg,2025-09-12 17:26:01,2025-10-22 17:26:01
53,Learn Japanese - Beginner,Master japanese with this complete guide designed for all skill levels.,451,4,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_53.jpg,2025-09-12 17:29:43,2025-11-03 17:29:43
54,Communication Workshop,Professional communication training with industry best practices and expert insights.,1750,9,ACCEPTED,PUBLIC,243.44,False,/thumbnails/course_54.jpg,2025-09-12 17:23:29,2025-10-31 17:23:29
55,Cloud Computing Implementation,Master cloud computing with this complete guide designed for all skill levels.,714,8,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_55.jpg,2025-09-12 17:29:39,2025-09-14 17:29:39
56,Biology Fundamentals,In-depth biology course with practical exercises and certification.,1510,5,ACCEPTED,PUBLIC,162.9,False,/thumbnails/course_56.jpg,2025-09-12 17:25:16,2025-10-30 17:25:16
57,Cybersecurity Best Practices,Master cybersecurity with this complete guide designed for all skill levels.,1311,8,ACCEPTED,PUBLIC,14.34,True,/thumbnails/course_57.jpg,2025-09-12 17:33:53,2025-09-29 17:33:53
58,Research Methods Fundamentals,Professional research methods training with industry best practices and expert insights.,1524,10,ACCEPTED,PUBLIC,268.38,False,/thumbnails/course_58.jpg,2025-09-12 17:34:27,2025-09-23 17:34:27
59,Complete Logic Course,Professional logic training with industry best practices and expert insights.,1387,10,ACCEPTED,PUBLIC,155.78,True,/thumbnails/course_59.jpg,2025-09-12 17:21:08,2025-10-28 17:21:08
60,Advanced Nutrition,Professional nutrition training with industry best practices and expert insights.,619,7,ACCEPTED,PUBLIC,96.36,False,/thumbnails/course_60.jpg,2025-09-12 17:23:18,2025-10-24 17:23:18
61,React Bootcamp,Professional react training with industry best practices and expert insights.,1588,1,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_61.jpg,2025-09-12 17:27:28,2025-10-10 17:27:28
62,Typography Design Principles,Master typography with this complete guide designed for all skill levels.,1607,2,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_62.jpg,2025-09-12 17:29:43,2025-11-11 17:29:43
63,Nutrition Essentials,Professional nutrition training with industry best practices and expert insights.,1351,7,ACCEPTED,PUBLIC,224.96,False,/thumbnails/course_63.jpg,2025-09-12 17:37:55,2025-09-13 17:37:55
64,Japanese Conversation,Professional japanese training with industry best practices and expert insights.,136,4,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_64.jpg,2025-09-12 17:36:33,2025-10-23 17:36:33
65,Advanced German,Professional german training with industry best practices and expert insights.,2106,4,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_65.jpg,2025-09-12 17:30:29,2025-10-10 17:30:29
66,Complete Node.js Guide,Professional node.js training with industry best practices and expert insights.,266,1,ACCEPTED,PUBLIC,158.83,False,/thumbnails/course_66.jpg,2025-09-12 17:38:28,2025-10-23 17:38:28
67,Fitness for Beginners,Comprehensive fitness course covering fundamental concepts and practical applications.,113,7,ACCEPTED,PUBLIC,149.71,False,/thumbnails/course_67.jpg,2025-09-12 17:35:23,2025-10-17 17:35:23
68,Introduction to AI,Master ai with this complete guide designed for all skill levels.,1645,8,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_68.jpg,2025-09-12 17:27:49,2025-10-26 17:27:49
69,Advanced Fitness,Comprehensive fitness course covering fundamental concepts and practical applications.,453,7,ACCEPTED,PUBLIC,135.61,True,/thumbnails/course_69.jpg,2025-09-12 17:30:06,2025-10-10 17:30:06
70,Typography Design Principles,Master typography with this complete guide designed for all skill levels.,1264,2,ACCEPTED,PUBLIC,164.99,False,/thumbnails/course_70.jpg,2025-09-12 17:22:46,2025-10-01 17:22:46
71,Effective Career,Learn career from scratch with hands-on projects and real-world examples.,1346,9,ACCEPTED,PUBLIC,36.41,False,/thumbnails/course_71.jpg,2025-09-12 17:35:37,2025-09-20 17:35:37
72,Creative Logo Design Workshop,Comprehensive logo design course covering fundamental concepts and practical applications.,1340,2,ACCEPTED,PUBLIC,110.67,True,/thumbnails/course_72.jpg,2025-09-12 17:37:44,2025-10-17 17:37:44
73,Effective Mindfulness,Comprehensive mindfulness course covering fundamental concepts and practical applications.,229,9,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_73.jpg,2025-09-12 17:24:43,2025-10-28 17:24:43
74,Complete Critical Thinking Course,Professional critical thinking training with industry best practices and expert insights.,1540,10,PENDING,PUBLIC,22.12,True,/thumbnails/course_74.jpg,2025-09-12 17:37:17,2025-10-23 17:37:17
75,Painting Basics,Professional painting training with industry best practices and expert insights.,1917,6,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_75.jpg,2025-09-12 17:35:57,2025-10-31 17:35:57
76,Logic Mastery,In-depth logic course with practical exercises and certification.,628,10,ACCEPTED,PUBLIC,38.71,True,/thumbnails/course_76.jpg,2025-09-12 17:34:14,2025-11-06 17:34:14
77,UI/UX Design Principles,In-depth ui/ux course with practical exercises and certification.,534,2,PENDING,PUBLIC,0.0,False,/thumbnails/course_77.jpg,2025-09-12 17:31:43,2025-11-10 17:31:43
78,Communication Workshop,Master communication with this complete guide designed for all skill levels.,1919,9,ACCEPTED,PUBLIC,253.77,False,/thumbnails/course_78.jpg,2025-09-12 17:25:06,2025-10-22 17:25:06
79,Leadership for Entrepreneurs,Learn leadership from scratch with hands-on projects and real-world examples.,1065,3,ACCEPTED,PUBLIC,28.03,True,/thumbnails/course_79.jpg,2025-09-12 17:25:48,2025-10-19 17:25:48
80,Chemistry Laboratory,Learn chemistry from scratch with hands-on projects and real-world examples.,1213,5,ACCEPTED,PUBLIC,169.08,True,/thumbnails/course_80.jpg,2025-09-12 17:27:12,2025-09-13 17:27:12
81,Introduction to Cloud Computing,In-depth cloud computing course with practical exercises and certification.,946,8,ACCEPTED,PUBLIC,230.08,True,/thumbnails/course_81.jpg,2025-09-12 17:25:13,2025-10-22 17:25:13
82,Introduction to Machine Learning,In-depth machine learning course with practical exercises and certification.,1028,1,ACCEPTED,PUBLIC,90.63,False,/thumbnails/course_82.jpg,2025-09-12 17:33:22,2025-11-02 17:33:22
83,Painting History,Master painting with this complete guide designed for all skill levels.,1666,6,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_83.jpg,2025-09-12 17:22:53,2025-10-10 17:22:53
84,Advanced Goal Setting,Professional goal setting training with industry best practices and expert insights.,736,9,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_84.jpg,2025-09-12 17:22:26,2025-11-06 17:22:26
85,Drawing History,Master drawing with this complete guide designed for all skill levels.,1524,6,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_85.jpg,2025-09-12 17:23:25,2025-10-17 17:23:25
86,Drawing Basics,Learn drawing from scratch with hands-on projects and real-world examples.,1704,6,ACCEPTED,PRIVATE,0.0,True,/thumbnails/course_86.jpg,2025-09-12 17:30:30,2025-09-21 17:30:30
87,Nutrition Essentials,Master nutrition with this complete guide designed for all skill levels.,1439,7,ACCEPTED,PUBLIC,125.44,True,/thumbnails/course_87.jpg,2025-09-12 17:24:42,2025-11-08 17:24:42
88,Advanced Biology,In-depth biology course with practical exercises and certification.,1098,5,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_88.jpg,2025-09-12 17:30:11,2025-10-14 17:30:11
89,Modern Painting Techniques,Master painting with this complete guide designed for all skill levels.,1803,6,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_89.jpg,2025-09-12 17:25:22,2025-10-14 17:25:22
90,Modern Graphic Design Techniques,Learn graphic design from scratch with hands-on projects and real-world examples.,2143,2,PENDING,PUBLIC,0.0,False,/thumbnails/course_90.jpg,2025-09-12 17:24:18,2025-10-13 17:24:18
91,Professional Wellness,Professional wellness training with industry best practices and expert insights.,1003,7,PENDING,PUBLIC,254.14,True,/thumbnails/course_91.jpg,2025-09-12 17:35:28,2025-11-07 17:35:28
92,Node.js Bootcamp,Professional node.js training with industry best practices and expert insights.,1373,1,ACCEPTED,PRIVATE,0.0,False,/thumbnails/course_92.jpg,2025-09-12 17:28:01,2025-10-17 17:28:01
93,AI Fundamentals,In-depth ai course with practical exercises and certification.,1026,8,DECLINED,PUBLIC,0.0,True,/thumbnails/course_93.jpg,2025-09-12 17:22:23,2025-10-30 17:22:23
94,Professional Yoga,In-depth yoga course with practical exercises and certification.,387,7,ACCEPTED,PRIVATE,0.0,False,/thumbnails/course_94.jpg,2025-09-12 17:23:04,2025-10-05 17:23:04
95,Statistics Fundamentals,Master statistics with this complete guide designed for all skill levels.,485,5,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_95.jpg,2025-09-12 17:21:22,2025-10-14 17:21:22
96,Photography Basics,Comprehensive photography course covering fundamental concepts and practical applications.,474,6,ACCEPTED,PUBLIC,241.18,True,/thumbnails/course_96.jpg,2025-09-12 17:24:50,2025-09-21 17:24:50
97,Japanese Grammar Mastery,Learn japanese from scratch with hands-on projects and real-world examples.,1169,4,ACCEPTED,PUBLIC,95.56,False,/thumbnails/course_97.jpg,2025-09-12 17:32:33,2025-10-21 17:32:33
98,Productivity Workshop,In-depth productivity course with practical exercises and certification.,1213,9,PENDING,PUBLIC,152.91,True,/thumbnails/course_98.jpg,2025-09-12 17:30:29,2025-10-18 17:30:29
99,Mental Health for Beginners,Comprehensive mental health course covering fundamental concepts and practical applications.,1387,7,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_99.jpg,2025-09-12 17:30:44,2025-10-08 17:30:44
100,Professional Productivity,Comprehensive productivity course covering fundamental concepts and practical applications.,1716,9,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_100.jpg,2025-09-12 17:35:42,2025-10-31 17:35:42
101,Statistics Laboratory,Learn statistics from scratch with hands-on projects and real-world examples.,175,5,PENDING,PUBLIC,51.15,True,/thumbnails/course_101.jpg,2025-09-12 17:29:14,2025-10-21 17:29:14
102,Applied Chemistry,Learn chemistry from scratch with hands-on projects and real-world examples.,133,5,ACCEPTED,PUBLIC,210.15,False,/thumbnails/course_102.jpg,2025-09-12 17:28:54,2025-10-10 17:28:54
103,Mental Health for Beginners,Learn mental health from scratch with hands-on projects and real-world examples.,1546,7,PENDING,PUBLIC,123.11,True,/thumbnails/course_103.jpg,2025-09-12 17:28:33,2025-11-09 17:28:33
104,Modern Film Techniques,Comprehensive film course covering fundamental concepts and practical applications.,474,6,ACCEPTED,PUBLIC,168.26,True,/thumbnails/course_104.jpg,2025-09-12 17:30:08,2025-10-12 17:30:08
105,Node.js Fundamentals,Learn node.js from scratch with hands-on projects and real-world examples.,1675,1,ACCEPTED,PUBLIC,102.69,False,/thumbnails/course_105.jpg,2025-09-12 17:33:06,2025-10-31 17:33:06
106,Machine Learning Bootcamp,Learn machine learning from scratch with hands-on projects and real-world examples.,888,1,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_106.jpg,2025-09-12 17:29:06,2025-11-11 17:29:06
107,Advanced German,Learn german from scratch with hands-on projects and real-world examples.,1763,4,PENDING,PUBLIC,0.0,False,/thumbnails/course_107.jpg,2025-09-12 17:26:12,2025-11-10 17:26:12
108,Professional Leadership Skills,Master leadership with this complete guide designed for all skill levels.,400,3,ACCEPTED,PUBLIC,162.95,True,/thumbnails/course_108.jpg,2025-09-12 17:21:49,2025-10-07 17:21:49
109,Music Theory Masterclass,Master music theory with this complete guide designed for all skill levels.,152,6,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_109.jpg,2025-09-12 17:31:50,2025-10-04 17:31:50
110,Applied Data Science,Master data science with this complete guide designed for all skill levels.,1750,5,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_110.jpg,2025-09-12 17:28:32,2025-09-29 17:28:32
111,Professional DevOps,Master devops with this complete guide designed for all skill levels.,474,8,DECLINED,PUBLIC,0.0,True,/thumbnails/course_111.jpg,2025-09-12 17:26:53,2025-09-27 17:26:53
112,Introduction to Marketing,In-depth marketing course with practical exercises and certification.,810,3,ACCEPTED,PUBLIC,15.75,True,/thumbnails/course_112.jpg,2025-09-12 17:34:06,2025-10-27 17:34:06
113,Advanced Nutrition,Learn nutrition from scratch with hands-on projects and real-world examples.,51,7,ACCEPTED,PUBLIC,293.36,False,/thumbnails/course_113.jpg,2025-09-12 17:27:58,2025-10-23 17:27:58
114,Professional Machine Learning,Learn machine learning from scratch with hands-on projects and real-world examples.,1026,1,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_114.jpg,2025-09-12 17:21:37,2025-11-09 17:21:37
115,Career Mastery,In-depth career course with practical exercises and certification.,826,9,ACCEPTED,PUBLIC,216.93,True,/thumbnails/course_115.jpg,2025-09-12 17:26:30,2025-11-09 17:26:30
116,Blockchain Fundamentals,Learn blockchain from scratch with hands-on projects and real-world examples.,137,8,ACCEPTED,PUBLIC,119.09,True,/thumbnails/course_116.jpg,2025-09-12 17:24:08,2025-11-10 17:24:08
117,AI Best Practices,Comprehensive ai course covering fundamental concepts and practical applications.,65,8,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_117.jpg,2025-09-12 17:30:14,2025-11-10 17:30:14
118,Complete React Guide,Professional react training with industry best practices and expert insights.,2008,1,ACCEPTED,PUBLIC,266.77,False,/thumbnails/course_118.jpg,2025-09-12 17:37:37,2025-10-14 17:37:37
119,Modern Web Design Techniques,Learn web design from scratch with hands-on projects and real-world examples.,368,2,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_119.jpg,2025-09-12 17:25:17,2025-10-23 17:25:17
120,Advanced Italian,Learn italian from scratch with hands-on projects and real-world examples.,81,4,ACCEPTED,PRIVATE,237.22,True,/thumbnails/course_120.jpg,2025-09-12 17:24:17,2025-10-30 17:24:17
121,Creative Music Theory Workshop,In-depth music theory course with practical exercises and certification.,1536,6,ACCEPTED,PUBLIC,154.58,False,/thumbnails/course_121.jpg,2025-09-12 17:29:26,2025-10-24 17:29:26
122,Study Skills Fundamentals,Learn study skills from scratch with hands-on projects and real-world examples.,1737,10,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_122.jpg,2025-09-12 17:34:54,2025-09-28 17:34:54
123,Applied Chemistry,Professional chemistry training with industry best practices and expert insights.,952,5,ACCEPTED,PUBLIC,90.58,True,/thumbnails/course_123.jpg,2025-09-12 17:28:34,2025-09-12 17:28:34
124,Film Masterclass,Master film with this complete guide designed for all skill levels.,830,6,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_124.jpg,2025-09-12 17:29:17,2025-10-01 17:29:17
125,Complete Mental Health Guide,In-depth mental health course with practical exercises and certification.,1097,7,ACCEPTED,PUBLIC,191.61,True,/thumbnails/course_125.jpg,2025-09-12 17:36:43,2025-10-05 17:36:43
126,Chemistry Laboratory,Learn chemistry from scratch with hands-on projects and real-world examples.,451,5,ACCEPTED,PUBLIC,136.49,True,/thumbnails/course_126.jpg,2025-09-12 17:26:41,2025-10-05 17:26:41
127,Modern Typography Techniques,In-depth typography course with practical exercises and certification.,1714,2,ACCEPTED,PUBLIC,240.59,True,/thumbnails/course_127.jpg,2025-09-12 17:26:57,2025-10-30 17:26:57
128,Advanced Logic,In-depth logic course with practical exercises and certification.,271,10,ACCEPTED,PUBLIC,158.45,False,/thumbnails/course_128.jpg,2025-09-12 17:28:33,2025-11-09 17:28:33
129,Professional Cloud Computing,Comprehensive cloud computing course covering fundamental concepts and practical applications.,2018,8,DECLINED,PRIVATE,60.65,True,/thumbnails/course_129.jpg,2025-09-12 17:30:34,2025-09-22 17:30:34
130,Advanced Japanese,Professional japanese training with industry best practices and expert insights.,384,4,PENDING,PUBLIC,215.07,True,/thumbnails/course_130.jpg,2025-09-12 17:24:41,2025-11-08 17:24:41
131,Logo Design for Professionals,Comprehensive logo design course covering fundamental concepts and practical applications.,1666,2,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_131.jpg,2025-09-12 17:21:08,2025-10-18 17:21:08
132,Introduction to IoT,Professional iot training with industry best practices and expert insights.,1080,8,ACCEPTED,PUBLIC,118.78,True,/thumbnails/course_132.jpg,2025-09-12 17:29:11,2025-10-29 17:29:11
133,Complete First Aid Guide,Comprehensive first aid course covering fundamental concepts and practical applications.,164,7,ACCEPTED,PRIVATE,210.11,True,/thumbnails/course_133.jpg,2025-09-12 17:31:33,2025-09-15 17:31:33
134,Advanced Machine Learning,Comprehensive machine learning course covering fundamental concepts and practical applications.,1003,1,PENDING,PUBLIC,230.68,True,/thumbnails/course_134.jpg,2025-09-12 17:35:53,2025-10-28 17:35:53
135,Professional Writing,Master writing with this complete guide designed for all skill levels.,1438,10,ACCEPTED,PRIVATE,275.13,False,/thumbnails/course_135.jpg,2025-09-12 17:34:13,2025-09-17 17:34:13
136,Italian for Travelers,In-depth italian course with practical exercises and certification.,451,4,PENDING,PUBLIC,104.33,False,/thumbnails/course_136.jpg,2025-09-12 17:36:15,2025-10-16 17:36:15
137,Java Fundamentals,Learn java from scratch with hands-on projects and real-world examples.,24,1,ACCEPTED,PUBLIC,293.54,True,/thumbnails/course_137.jpg,2025-09-12 17:28:19,2025-10-28 17:28:19
138,Classical Painting,In-depth painting course with practical exercises and certification.,1432,6,DECLINED,PRIVATE,74.25,False,/thumbnails/course_138.jpg,2025-09-12 17:28:57,2025-09-29 17:28:57
139,Creative Film Workshop,Comprehensive film course covering fundamental concepts and practical applications.,133,6,ACCEPTED,PUBLIC,125.77,True,/thumbnails/course_139.jpg,2025-09-12 17:24:27,2025-11-07 17:24:27
